pharmaid,atc,month,year,maxprice,ddd,inprice,generic,dddperpack,price
1153,G04CB01,8,2005,360.799987793,504.0,223.600006104,0,28.0,351.65712738
1153,G04CB01,9,2005,355.593536377,924.0,223.600006104,0,28.0,351.583854675
1153,G04CB01,10,2005,307.0,1400.0,180.0,0,28.0,298.558315278
1153,G04CB01,11,2005,307.0,2380.0,180.0,0,28.0,298.362957001
1153,G04CB01,12,2005,307.0,2436.0,179.5,0,28.0,298.487953187
1153,G04CB01,1,2006,307.0,2212.0,179.5,0,28.0,299.154163361
1153,G04CB01,2,2006,307.0,4331.99200058,179.5,0,28.0,302.684337617
1153,G04CB01,3,2006,307.0,6384.0,179.5,0,28.0,303.796592714
1153,G04CB01,4,2006,307.0,7056.0,179.5,0,28.0,304.168270112
1153,G04CB01,5,2006,307.0,9436.0,179.5,0,28.0,304.395004273
1153,G04CB01,6,2006,307.0,8484.0,182.100006104,0,28.0,304.147495268
1153,G04CB01,7,2006,307.0,7924.0,181.540008545,0,28.0,304.531936646
1153,G04CB01,8,2006,306.52355957,9464.0,181.540008545,0,28.0,304.429290771
1153,G04CB01,9,2006,293.399993896,8988.0,181.540008545,0,28.0,291.962917327
1153,G04CB01,10,2006,293.399993896,9492.0,181.959991455,0,28.0,291.720134734
1153,G04CB01,11,2006,293.399993896,10248.0,180.899993896,0,28.0,291.785236358
1153,G04CB01,12,2006,293.399993896,10445.988,183.88999939,0,28.0,292.020889283
1153,G04CB01,1,2007,293.399993896,10388.0,167.865005493,0,28.0,291.753086089
1153,G04CB01,2,2007,293.399993896,9184.0,184.660003662,0,28.0,291.920860291
1153,G04CB01,3,2007,293.399993896,11230.9960001,184.660003662,0,28.0,291.851219178
1153,G04CB01,4,2007,293.399993896,11284.0,184.660003662,0,28.0,291.619598388
1153,G04CB01,5,2007,293.399993896,9380.0,184.660003662,0,28.0,291.892341614
1153,G04CB01,6,2007,293.399993896,7520.99600029,185.009994507,0,28.0,291.693058014
1153,G04CB01,7,2007,293.399993896,5152.0,185.009994507,0,28.0,283.125892638
1153,G04CB01,8,2007,292.382659912,5236.0,185.009994507,0,28.0,285.468776704
1153,G04CB01,9,2007,205.399993896,5432.0,125.379997253,0,28.0,206.436660767
1153,G04CB01,10,2007,205.399993896,5740.0,125.379997253,0,28.0,205.477706909
