date,phid,chain,storesize,sale,nobs,packages,market
2004-04-01,2,2,539.0,1706723.87,3678,5450.629,1
2004-04-01,3,1,419.0,721295.2,1584,2140.333,2
2004-04-01,4,3,583.0,1409624.77,2479,3555.0,3
2004-04-01,5,2,257.0,1279821.4,2309,3397.3,3
2004-04-01,6,2,273.0,1882261.34,3364,4954.92,3
2004-04-01,11,1,122.0,1197968.41,2666,3646.65,5
2004-04-01,12,3,400.0,2512919.77,4783,6317.0,6
2004-04-01,14,2,105.0,476303.16,981,1220.0,7
2004-04-01,15,2,156.0,738713.37,1543,2222.286,8
2004-04-01,16,2,203.0,1427632.87,3365,4427.276,6
2004-04-01,17,3,285.0,1612115.45,3553,4545.0,6
2004-04-01,18,2,476.0,3364938.2,6902,9075.833,6
2004-04-01,19,4,152.0,870697.72,1877,2446.0,6
2004-04-01,20,1,603.0,2318479.71,5788,7485.543,6
2004-04-01,21,3,440.0,654694.53,1548,1990.0,6
2004-04-01,22,2,333.0,2468995.15,5337,7464.0,6
2004-04-01,23,3,274.0,2454009.33,4949,6466.0,6
2004-04-01,24,3,136.0,700816.14,1435,1859.0,6
2004-04-01,25,2,97.0,684495.94,1867,2327.0,6
2004-04-01,26,3,665.0,2418005.82,5024,6632.08,6
2004-04-01,27,5,1967.0,3791329.84,3006,4308.234,6
2004-04-01,28,3,360.0,901532.59,2055,2729.0,6
2004-04-01,29,3,393.0,2279576.14,4401,6007.333,6
2004-04-01,30,2,170.0,856646.64,1598,2272.0,6
2004-04-01,31,4,200.0,966935.12,2146,2810.0,6
2004-04-01,32,3,171.0,1019264.43,2127,2762.832,6
2004-04-01,33,2,562.0,1919968.91,3536,5019.167,6
2004-04-01,34,2,56.0,1163044.21,2884,3920.5,9
2004-04-01,35,2,250.0,1190005.25,2393,3192.3,9
2004-04-01,36,2,150.0,532548.02,1161,1618.0,9
2004-04-01,37,1,454.0,1429115.7,3142,4432.486,9
2004-04-01,38,5,511.0,2368368.87,1429,2180.149,9
2004-04-01,39,1,79.0,444470.48,809,1150.0,9
2004-04-01,42,2,390.0,1551186.87,3541,5042.833,10
2004-04-01,50,1,154.0,876006.3,2090,2640.0,11
2004-04-01,51,2,255.0,1161553.77,2387,3201.633,12
2004-04-01,52,2,116.0,444843.43,1016,1281.536,13
2004-04-01,62,1,231.0,1145568.41,2190,2771.4,14
2004-04-01,65,1,479.0,2438226.77,5215,7235.25,15
2004-04-01,66,3,378.0,2547873.45,5198,6732.0,16
2004-04-01,67,5,500.0,874064.5,1035,1458.2,16
2004-04-01,68,4,200.0,539840.29,1176,1617.3,17
2004-04-01,69,1,227.0,974054.17,2110,2889.647,18
2004-04-01,70,2,382.0,1455694.48,2836,4090.286,19
2004-04-01,71,2,449.0,1179036.73,2595,3769.18,20
2004-04-01,73,3,328.0,2527355.1,5439,7061.8,6
2004-04-01,74,2,311.0,1318645.84,2447,3307.633,21
2004-04-01,75,1,317.0,1878027.52,3533,4875.786,22
2004-04-01,83,1,67.0,352425.59,844,1012.0,23
2004-04-01,84,3,185.0,1186705.4,2554,3268.44,24
2004-04-01,85,2,390.0,1886281.16,3825,5199.5,115
2004-04-01,86,5,580.0,1185136.9,1128,1654.999,115
2004-04-01,87,1,175.0,861061.99,1615,2081.0,16
2004-04-01,89,1,273.0,1078232.03,2086,2783.0,25
2004-04-01,90,1,80.0,638474.66,1208,1645.0,16
2004-04-01,91,1,350.0,1423366.25,3143,4307.0,16
2004-04-01,92,2,100.0,898642.29,2122,2745.663,16
2004-04-01,93,5,330.0,669706.8,1136,1465.242,16
2004-04-01,94,2,142.0,643472.33,1532,1910.0,26
2004-04-01,95,3,170.0,632422.66,1523,1833.288,27
2004-04-01,96,4,184.0,1009073.7,2219,3124.0,117
2004-04-01,97,4,400.0,820170.05,1859,2616.3,117
2004-04-01,98,1,474.0,1413105.0,2844,3924.0,3
2004-04-01,99,2,260.0,870359.7,1623,2093.2,28
2004-04-01,100,2,266.0,926876.17,1953,2551.0,29
2004-04-01,104,3,452.0,1327590.23,2846,3580.918,16
2004-04-01,105,5,200.0,1213709.42,1702,2459.044,16
2004-04-01,106,2,330.0,1502782.48,7579,4208.892,16
2004-04-01,107,2,62.0,1047737.82,2487,3303.0,16
2004-04-01,108,2,250.0,1209103.99,2512,3436.0,30
2004-04-01,109,3,214.0,1244250.82,2365,3111.0,31
2004-04-01,110,2,156.0,513828.88,1187,1531.0,32
2004-04-01,111,2,299.0,1826398.99,3599,4978.0,33
2004-04-01,112,1,463.0,1763753.07,3329,4681.2,33
2004-04-01,113,3,245.0,1757775.66,3693,4915.481,34
2004-04-01,114,2,440.0,1613660.77,3190,4243.649,34
2004-04-01,115,5,378.0,3988516.51,2820,4365.835,34
2004-04-01,116,1,313.0,787372.26,1898,2672.0,35
2004-04-01,117,2,144.0,957736.95,2097,2780.333,36
2004-04-01,118,1,126.0,1145385.99,2645,3612.0,37
2004-04-01,119,3,123.0,467375.95,1096,1410.0,38
2004-04-01,120,3,87.0,763992.64,1353,1830.0,39
2004-04-01,122,3,257.0,1041546.04,2369,3303.0,40
2004-04-01,123,1,200.0,474251.56,1196,1538.5,41
2004-04-01,124,2,250.0,1597560.45,3006,4299.833,25
2004-04-01,125,3,137.0,557097.2,1290,1633.05,42
2004-04-01,126,1,236.0,1589431.03,3681,4711.265,39
2004-04-01,127,2,405.0,1448130.12,2813,3993.1,34
2004-04-01,128,3,274.0,1168613.91,2586,3345.558,34
2004-04-01,129,2,158.0,1248979.26,2527,3502.68,34
2004-04-01,130,2,212.0,1230599.48,2399,3240.0,25
2004-04-01,136,1,201.0,2251364.79,4261,5837.767,43
2004-04-01,137,2,330.0,1220855.5,2735,3599.0,3
2004-04-01,138,2,327.0,1081801.96,2386,3180.4,3
2004-04-01,139,2,213.0,1418060.08,3118,4223.7,3
2004-04-01,140,1,800.0,3010670.13,6450,9057.0,3
2004-04-01,141,1,156.0,945114.97,1953,2608.333,3
2004-04-01,142,1,115.0,954697.25,2414,3134.5,3
2004-04-01,143,2,218.0,1142624.7,2400,3285.2,8
2004-04-01,144,2,491.0,1878421.18,3785,5141.638,8
2004-04-01,145,5,290.0,1197735.72,1779,2443.679,8
2004-04-01,146,3,357.0,1364482.8,2863,3838.5,116
2004-04-01,147,2,186.0,982555.93,1718,2488.0,21
2004-04-01,148,1,240.0,1516768.16,3567,4894.726,44
2004-04-01,149,4,350.0,1597412.17,3489,4613.0,45
2004-04-01,154,2,530.0,2645654.13,5305,7691.0,46
2004-04-01,155,1,300.0,1319643.88,2691,3637.53,42
2004-04-01,156,1,128.0,1050410.27,2232,2917.159,42
2004-04-01,159,1,434.0,1053992.68,2086,2765.595,16
2004-04-01,160,1,182.0,1005136.25,2482,3156.44,16
2004-04-01,161,3,337.0,878889.13,1937,2452.49,16
2004-04-01,162,5,190.0,996424.25,1016,1449.969,16
2004-04-01,163,1,225.0,1560144.79,3218,4337.8,3
2004-04-01,164,2,500.0,2107376.59,4213,5785.665,6
2004-04-01,165,2,93.0,341444.56,773,1022.0,47
2004-04-01,166,2,210.0,1220059.1,2186,3204.0,19
2004-04-01,167,1,230.0,941471.81,2201,2851.0,48
2004-04-01,168,2,258.0,933127.19,2071,2835.395,49
2004-04-01,171,1,178.0,1310716.23,2754,3500.0,16
2004-04-01,172,2,129.0,712150.23,1546,2048.0,50
